,ENGINEER_TITLE,EMPLOYER_SIZE,SF,LA,PW_WAGE_LEVEL,YEAR,Cost of Living Plus Rent Index,ADJUSTED_P_WAGE
215,0,2,0,0,2,2019,100.0,96366.0
216,1,2,0,0,2,2019,100.0,96366.0
217,1,1,1,0,2,2019,98.6,122796.1
218,0,2,0,0,2,2019,100.0,96366.0
219,1,2,0,1,2,2019,73.9,123673.9
220,0,3,1,0,1,2019,98.6,95899.6
221,1,2,0,0,3,2019,100.0,117624.0
222,1,1,1,0,2,2019,98.6,122796.1
223,1,1,1,0,3,2019,98.6,149692.7
224,1,1,0,0,1,2019,100.0,75130.0
225,1,2,1,0,2,2019,98.6,122796.1
226,1,3,1,0,2,2019,98.6,122796.1
227,0,3,0,0,1,2019,100.0,75130.0
228,1,3,1,0,2,2019,98.6,122796.1
229,1,1,0,0,2,2019,100.0,96366.0
230,0,1,0,0,2,2019,100.0,96366.0
231,0,1,0,0,2,2019,100.0,96366.0
232,1,2,0,0,1,2019,100.0,75130.0
233,1,3,1,0,2,2019,98.6,122796.1
234,1,1,0,0,1,2019,100.0,75130.0
235,1,2,0,0,2,2019,100.0,96366.0
236,1,2,0,0,2,2019,100.0,96366.0
237,1,2,0,0,2,2019,100.0,96366.0
238,1,2,0,0,2,2019,100.0,96366.0
239,1,2,0,0,2,2019,100.0,96366.0
240,1,2,0,0,2,2019,100.0,96366.0
241,1,2,0,0,2,2019,100.0,96366.0
242,0,3,1,0,2,2019,98.6,122796.1
243,0,2,0,0,2,2019,100.0,96366.0
244,1,1,0,0,2,2019,100.0,96366.0
245,0,3,0,0,2,2019,100.0,96366.0
246,0,2,0,1,3,2019,73.9,150581.9
247,0,2,1,0,3,2019,98.6,149692.7
248,1,2,0,0,2,2019,100.0,96366.0
249,1,3,1,0,3,2019,98.6,149692.7
250,1,2,0,0,2,2019,100.0,96366.0
251,1,2,0,0,2,2019,100.0,96366.0
252,0,3,0,0,2,2019,100.0,96366.0
253,1,2,0,1,2,2019,73.9,123673.9
254,1,1,0,1,4,2019,73.9,177461.4
255,1,2,0,0,2,2019,100.0,96366.0
256,0,2,1,0,2,2019,98.6,122796.1
257,0,3,0,0,3,2019,100.0,117624.0
258,1,2,0,0,2,2019,100.0,96366.0
259,0,1,1,0,2,2019,98.6,122796.1
260,1,3,0,0,2,2019,100.0,96366.0
261,1,2,1,0,4,2019,98.6,176589.2
